symptom,disease,doctor
"Fever, Rash on hands and feet, Loss of appetite, Irritability, Mouth sores, Fatigue, Cough, Sore muscles, Mild fever, Difficulty swallowing","Hand, Foot, and Mouth Disease",General Physician
"High fever, Runny nose, Rash, Fatigue, Headache, Red eyes, Loss of appetite, Body aches, Rashes",Roseola,General Physician
"Fever, Abdominal pain or cramps, Bloody stools, Headache, Fatigue, Loss of appetite, Muscle aches, Body aches, Feverish, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Stomach cramps, Nausea, Fatigue, Body aches, Rashes, Fever, Irritability",Norovirus Infection,General Physician
"Abdominal pain or cramps, Bloody stools, Fatigue, Dehydration, Muscle aches, Feverish, Rashes, General discomfort, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Fever, Diarrhea, Vomiting, Headache, Muscle aches, Body aches, Feverish",Shigellosis (Bacillary Dysentery),General Physician
"Abdominal pain or cramps, Stomach cramps, Fatigue, Dehydration, Loss of appetite, Muscle aches, Feverish, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Runny nose, Rash, Irritability, Swollen lymph nodes, Diarrhea, Vomiting, Body aches, Chills",Roseola,General Physician
"Sores in mouth, Loss of appetite, Sore throat, Mouth sores, General discomfort","Hand, Foot, and Mouth Disease",General Physician
"Bloody stools, Stomach cramps, Dehydration, Loss of appetite, Rashes, General discomfort, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Headache, Fatigue, Loss of appetite, Dehydration, Chills, Sweating, Fever",Norovirus Infection,General Physician
"Fever, Vomiting, Fatigue, Loss of appetite, Body aches, Feverish, General discomfort, Chills",Shigellosis (Bacillary Dysentery),General Physician
"High fever, Runny nose, Fatigue, Swollen lymph nodes, Sore throat, Cough, Diarrhea, Vomiting, Loss of appetite, Rashes, Chills",Roseola,General Physician
"Nausea, Vomiting, Bloody stools, Dehydration, Loss of appetite, Body aches, Rashes, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"High fever, Runny nose, Irritability, Red eyes, Diarrhea, Vomiting, Loss of appetite",Roseola,General Physician
"Diarrhea, Vomiting, Stomach cramps, Low-grade fever, Headache, Fatigue, Abdominal pain, Loss of appetite, Dehydration, Chills, Sweating, Body aches",Norovirus Infection,General Physician
"Fever, Diarrhea, Nausea, Headache, Fatigue, Dehydration, Loss of appetite, Muscle aches, Rashes, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Swollen glands, Red lines in body folds, Red rash on the body, Strawberry tongue, Pale skin around lips, Fever (100.4�F / 38.0�C or higher), Difficulty swallowing, Nausea or vomiting, Headache and body aches",Scarlet Fever,General Physician
"Low-grade fever, Nausea, Headache, Fatigue, Abdominal pain, Loss of appetite, Dehydration, Chills, Sweating, Body aches, General discomfort",Norovirus Infection,General Physician
"High fever, Irritability, Fatigue, Swollen lymph nodes, Sore throat, Vomiting, Loss of appetite, Abdominal pain, Body aches, Chills, Feverish",Roseola,General Physician
"High fever, Rash, Fatigue, Headache, Cough, Vomiting, Loss of appetite, Body aches, Rashes, Feverish",Roseola,General Physician
"Vomiting, Stomach cramps, Muscle aches, Nausea, Headache, Loss of appetite, Chills, Body aches, Rashes, General discomfort",Norovirus Infection,General Physician
"Rash, Fatigue, Sore throat, Headache, Vomiting, Abdominal pain, Rashes, Feverish",Roseola,General Physician
"Irritability, Fatigue, Sore throat, Cough, Red eyes, Diarrhea, Loss of appetite, Rashes, Chills, Feverish",Roseola,General Physician
"High fever, Runny nose, Rash, Irritability, Sore throat, Cough, Red eyes, Vomiting, Loss of appetite, Body aches, Rashes",Roseola,General Physician
"Sores in mouth, Rash on hands and feet, Sore throat, Blisters, Fatigue, Sore muscles, Headache, General discomfort","Hand, Foot, and Mouth Disease",General Physician
"Diarrhea, Stomach cramps, Low-grade fever, Muscle aches, Nausea, Abdominal pain, Loss of appetite, General discomfort",Norovirus Infection,General Physician
"Abdominal pain or cramps, Diarrhea, Headache, Fatigue, Dehydration, Body aches, Feverish, Rashes, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Headache, Swollen, painful salivary glands, Fever, Muscle aches, Tiredness, Trouble chewing, Fever, Headache, Loss of appetite",Mumps,General Physician
"Diarrhea, Vomiting, Muscle aches, Abdominal pain, Loss of appetite, Dehydration, Rashes, Fever, Irritability",Norovirus Infection,General Physician
"Rash, Irritability, Fatigue, Sore throat, Headache, Diarrhea, Body aches, Chills, Feverish",Roseola,General Physician
"Fever, Abdominal pain or cramps, Diarrhea, Nausea, Bloody stools, Stomach cramps, Headache, Fatigue, Dehydration, Loss of appetite, Feverish, Rashes",Shigellosis (Bacillary Dysentery),General Physician
"Fatigue, Sore throat, Headache, Cough, Diarrhea, Vomiting, Loss of appetite, Abdominal pain, Chills",Roseola,General Physician
"Diarrhea, Muscle aches, Headache, Loss of appetite, Sweating, Rashes, Fever, Irritability",Norovirus Infection,General Physician
"Rash, Fatigue, Swollen lymph nodes, Cough, Diarrhea, Vomiting, Abdominal pain, Body aches, Chills, Feverish",Roseola,General Physician
"Sores in mouth, Rash on hands and feet, Loss of appetite, Irritability, Sore throat, Blisters, Fatigue, Sore muscles, Mild fever","Hand, Foot, and Mouth Disease",General Physician
"Low-grade fever, Muscle aches, Headache, Abdominal pain, Sweating, Rashes, Irritability",Norovirus Infection,General Physician
"Diarrhea, Stomach cramps, Muscle aches, Nausea, Headache, Fatigue, Abdominal pain, Loss of appetite, Dehydration, General discomfort, Fever, Irritability",Norovirus Infection,General Physician
"Runny nose, Irritability, Cough, Loss of appetite, Rashes, Chills",Roseola,General Physician
"High fever, Runny nose, Rash, Irritability, Sore throat, Cough, Diarrhea, Loss of appetite, Rashes, Feverish",Roseola,General Physician
"Abdominal pain or cramps, Diarrhea, Nausea, Stomach cramps, Fatigue, Body aches, Rashes, General discomfort, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Fever, Diarrhea, Vomiting, Headache, Dehydration, Muscle aches, Body aches, Feverish, Rashes, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Itching, Sores from scratching, Itching on the scalp, neck, and ears, Visible lice on the scalp, Tickling feeling",Head Lice Infestation,General Physician
"Fever, Abdominal pain or cramps, Nausea, Bloody stools, Stomach cramps, Headache, Fatigue, Dehydration, Loss of appetite, Muscle aches, Rashes, General discomfort",Shigellosis (Bacillary Dysentery),General Physician
"High fever, Runny nose, Fatigue, Sore throat, Cough, Vomiting, Loss of appetite, Abdominal pain, Chills, Feverish",Roseola,General Physician
"Fever, Diarrhea, Nausea, Headache, Muscle aches, Feverish, Rashes",Shigellosis (Bacillary Dysentery),General Physician
"Vomiting, Stomach cramps, Headache, Fatigue, Abdominal pain, Body aches, General discomfort",Norovirus Infection,General Physician
"Fever, Diarrhea, Nausea, Vomiting, Stomach cramps, Dehydration, General discomfort, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Runny nose, Rash, Irritability, Fatigue, Sore throat, Red eyes, Diarrhea, Vomiting, Abdominal pain, Chills",Roseola,General Physician
"Headache, Cough, Red eyes, Vomiting, Feverish",Roseola,General Physician
"Low-grade fever, Nausea, Headache, Fatigue, Loss of appetite, Chills, Sweating, Rashes, General discomfort, Irritability",Norovirus Infection,General Physician
"Abdominal pain or cramps, Diarrhea, Stomach cramps, Headache, General discomfort, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"High fever, Irritability, Fatigue, Swollen lymph nodes, Headache, Diarrhea, Loss of appetite, Feverish",Roseola,General Physician
"Fatigue, Body aches, Rashes, Fever",Norovirus Infection,General Physician
"Diarrhea, Stomach cramps, Headache, Loss of appetite, Body aches, Irritability",Norovirus Infection,General Physician
"Fever, Nausea, Bloody stools, Headache, Dehydration, Feverish, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Diarrhea, Muscle aches, Headache, Loss of appetite, Dehydration, Chills, Rashes, Fever, Irritability",Norovirus Infection,General Physician
"Diarrhea, Dehydration, Muscle aches, Body aches, Feverish, General discomfort",Shigellosis (Bacillary Dysentery),General Physician
"Runny nose, Irritability, Sore throat, Cough, Diarrhea, Rashes, Chills",Roseola,General Physician
"Fever, Diarrhea, Nausea, Vomiting, Bloody stools, Body aches, Feverish, Rashes",Shigellosis (Bacillary Dysentery),General Physician
"Diarrhea, Vomiting, Stomach cramps, Low-grade fever, Muscle aches, Nausea, Fatigue, Loss of appetite, Dehydration, Irritability",Norovirus Infection,General Physician
"Runny nose, Rash, Irritability, Sore throat, Diarrhea, Vomiting, Body aches, Rashes, Feverish",Roseola,General Physician
"High fever, Irritability, Fatigue, Swollen lymph nodes, Red eyes, Diarrhea, Vomiting, Loss of appetite, Body aches, Rashes, Chills",Roseola,General Physician
"Diarrhea, Vomiting, Stomach cramps, Low-grade fever, Headache, Abdominal pain, Chills, Rashes, General discomfort, Irritability",Norovirus Infection,General Physician
"Fever, Abdominal pain or cramps, Diarrhea, Vomiting, Stomach cramps, Fatigue, Muscle aches, Feverish, Rashes, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Vomiting, Stomach cramps, Low-grade fever, Loss of appetite, Dehydration, Sweating, Body aches, General discomfort, Fever, Irritability",Norovirus Infection,General Physician
"Headache, Red eyes, Vomiting, Body aches, Rashes, Chills, Feverish",Roseola,General Physician
"Loss of appetite, Sore throat, Fatigue, Mild fever","Hand, Foot, and Mouth Disease",General Physician
"Abdominal pain or cramps, Stomach cramps, Headache, Fatigue, Dehydration, Loss of appetite, Body aches, Rashes, General discomfort",Shigellosis (Bacillary Dysentery),General Physician
"Rash, Sore throat, Headache, Red eyes, Vomiting, Loss of appetite, Body aches, Feverish",Roseola,General Physician
"High fever, Irritability, Fatigue, Sore throat, Headache, Cough, Diarrhea, Loss of appetite, Body aches, Rashes",Roseola,General Physician
"Diarrhea, Muscle aches, Nausea, Headache, Fatigue, Loss of appetite, Chills, Sweating, Rashes, Irritability",Norovirus Infection,General Physician
"Runny nose, Sore throat, Headache, Cough, Red eyes, Diarrhea, Loss of appetite, Body aches, Chills",Roseola,General Physician
"Rash on hands and feet, Loss of appetite, Red spots, Blisters, Fatigue, Cough, General discomfort, Mild fever","Hand, Foot, and Mouth Disease",General Physician
"Vomiting, Nausea, Abdominal pain, Loss of appetite, Sweating, Body aches, General discomfort, Irritability",Norovirus Infection,General Physician
"Abdominal pain or cramps, Diarrhea, Bloody stools, Dehydration, Loss of appetite, Muscle aches, Body aches, General discomfort, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Rash on hands and feet, Sore muscles, Headache, General discomfort, Mild fever","Hand, Foot, and Mouth Disease",General Physician
"Fever, Abdominal pain or cramps, Vomiting, Bloody stools, Dehydration, Muscle aches, Body aches, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Runny nose, Rash, Fatigue, Sore throat, Headache, Cough, Diarrhea, Vomiting, Rashes, Feverish",Roseola,General Physician
"High fever, Runny nose, Rash, Irritability, Fatigue, Red eyes, Vomiting, Rashes",Roseola,General Physician
"Bloody stools, Headache, Dehydration, Loss of appetite, Body aches, Rashes, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Diarrhea, Vomiting, Low-grade fever, Nausea, Headache, Fatigue, Abdominal pain, Loss of appetite, General discomfort, Irritability",Norovirus Infection,General Physician
"Vomiting, Muscle aches, Headache, Abdominal pain, Loss of appetite, Sweating, Body aches, Rashes",Norovirus Infection,General Physician
"High fever, Rash, Irritability, Swollen lymph nodes, Headache, Diarrhea, Loss of appetite, Body aches, Rashes, Chills, Feverish",Roseola,General Physician
"Fever, Rash on hands and feet, Loss of appetite, Irritability, Sore throat, Red spots, Blisters, Cough, Sore muscles, Headache, Difficulty swallowing","Hand, Foot, and Mouth Disease",General Physician
"Abdominal pain or cramps, Diarrhea, Vomiting, Stomach cramps, Dehydration, Loss of appetite, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Rash, Fatigue, Cough, Diarrhea, Loss of appetite, Abdominal pain, Body aches, Chills, Feverish",Roseola,General Physician
"Diarrhea, Vomiting, Stomach cramps, Low-grade fever, Headache, Loss of appetite, Dehydration, Body aches, General discomfort, Fever, Irritability",Norovirus Infection,General Physician
"Vomiting, Stomach cramps, Muscle aches, Nausea, Fatigue, Dehydration, Rashes",Norovirus Infection,General Physician
"High fever, Runny nose, Fatigue, Sore throat, Cough, Red eyes, Diarrhea, Vomiting, Loss of appetite, Rashes",Roseola,General Physician
"Diarrhea, Fatigue, Dehydration, Loss of appetite, Muscle aches, Feverish, Rashes, General discomfort, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Vomiting, Low-grade fever, Muscle aches, Loss of appetite, Dehydration, Body aches, Fever",Norovirus Infection,General Physician
"Runny nose, Rash, Fatigue, Swollen lymph nodes, Sore throat, Headache, Cough, Diarrhea, Abdominal pain, Rashes, Feverish",Roseola,General Physician
"Fever, Sore throat, Red lines in body folds, Tender, enlarged neck glands, Nausea or vomiting, Abdominal pain",Scarlet Fever,General Physician
"Abdominal pain or cramps, Nausea, Vomiting, Headache, Loss of appetite, Feverish, Rashes, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Runny nose, Rash, Irritability, Fatigue, Swollen lymph nodes, Cough, Red eyes, Diarrhea, Abdominal pain",Roseola,General Physician
"Stomach cramps, Low-grade fever, Headache, Fatigue, Abdominal pain, Loss of appetite, Dehydration, Body aches, Rashes, General discomfort, Fever",Norovirus Infection,General Physician
"High fever, Runny nose, Swollen lymph nodes, Sore throat, Cough, Diarrhea, Body aches, Rashes, Feverish",Roseola,General Physician
"Fever, Diarrhea, Stomach cramps, Headache, Fatigue, Dehydration, Loss of appetite, Muscle aches, Rashes, General discomfort, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Diarrhea, Muscle aches, Nausea, Headache, Fatigue, Loss of appetite, Body aches, Rashes, Fever",Norovirus Infection,General Physician
"Fever, Diarrhea, Vomiting, Bloody stools, Stomach cramps, Headache, Dehydration, Muscle aches, General discomfort, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Vomiting, Stomach cramps, Nausea, Fatigue, Loss of appetite",Norovirus Infection,General Physician
"Vomiting, Fatigue, Sweating, Fever, Irritability",Norovirus Infection,General Physician
"Diarrhea, Nausea, Vomiting, Headache, Fatigue, Loss of appetite, Rashes, Chills",Shigellosis (Bacillary Dysentery),General Physician
