disease,symptom
Shigellosis (Bacillary Dysentery),"Fever, Abdominal pain or cramps, Diarrhea, Nausea, Vomiting, Stomach cramps, Dehydration, Body aches"
Norovirus Infection,"Diarrhea, Vomiting, Low-grade fever, Headache, Abdominal pain, Chills, Body aches, Rashes, General discomfort, Fever, Irritability"
"Hand, Foot, and Mouth Disease","Fever, Sores in mouth, Rash on hands and feet, Sore throat, Blisters, Sore muscles, Headache"
"Hand, Foot, and Mouth Disease","Fever, Sores in mouth, Loss of appetite, Mouth sores, Red spots, Fatigue, Headache, Mild fever, Difficulty swallowing"
Shigellosis (Bacillary Dysentery),"Fever, Vomiting, Muscle aches, Body aches, Feverish, General discomfort, Chills, Joint pain"
Roseola,"High fever, Runny nose, Rash, Irritability, Sore throat, Headache, Abdominal pain, Rashes, Chills"
"Hand, Foot, and Mouth Disease","Fever, Sores in mouth, Loss of appetite, Irritability, Mouth sores, Red spots, Blisters, Headache, Difficulty swallowing"
Shigellosis (Bacillary Dysentery),"Fever, Abdominal pain or cramps, Diarrhea, Bloody stools, Headache, Dehydration, Loss of appetite, Body aches, Feverish, Rashes, General discomfort, Joint pain"
Norovirus Infection,"Stomach cramps, Muscle aches, Nausea, Headache, Fatigue, Dehydration, Chills, Body aches, Rashes, General discomfort"
Shigellosis (Bacillary Dysentery),"Abdominal pain or cramps, Diarrhea, Nausea, Vomiting, Headache, Fatigue, Loss of appetite, Muscle aches, Feverish, Rashes, Chills"
Roseola,"Runny nose, Rash, Fatigue, Swollen lymph nodes, Sore throat, Headache, Cough, Vomiting, Chills"
Norovirus Infection,"Diarrhea, Low-grade fever, Muscle aches, Headache, Dehydration"
Norovirus Infection,"Diarrhea, Vomiting, Low-grade fever, Muscle aches, Nausea, Abdominal pain, Loss of appetite, Chills, Sweating, Fever"
Roseola,"Runny nose, Swollen lymph nodes, Sore throat, Headache, Cough, Red eyes, Vomiting, Abdominal pain, Body aches, Rashes, Chills"
Shigellosis (Bacillary Dysentery),"Vomiting, Bloody stools, Stomach cramps, Body aches, Feverish, General discomfort, Chills"
Shigellosis (Bacillary Dysentery),"Abdominal pain or cramps, Diarrhea, Vomiting, Bloody stools, Stomach cramps, Headache, Dehydration, Muscle aches, Body aches, Joint pain"
Roseola,"Runny nose, Rash, Fatigue, Sore throat, Cough, Diarrhea, Body aches, Rashes, Feverish"
Roseola,"Rash, Swollen lymph nodes, Cough, Red eyes, Diarrhea, Loss of appetite, Rashes"
Shigellosis (Bacillary Dysentery),"Abdominal pain or cramps, Nausea, Vomiting, Bloody stools, Headache, Fatigue, Muscle aches, Body aches, Rashes, General discomfort, Joint pain"
Norovirus Infection,"Diarrhea, Low-grade fever, Nausea, Abdominal pain, Chills, Sweating, Body aches, Rashes, General discomfort, Fever, Irritability"
Roseola,"High fever, Rash, Fatigue, Swollen lymph nodes, Sore throat, Cough, Red eyes, Diarrhea, Vomiting, Body aches"
Norovirus Infection,"Low-grade fever, Muscle aches, Nausea, Headache, Fatigue, General discomfort"
Shigellosis (Bacillary Dysentery),"Fever, Abdominal pain or cramps, Vomiting, Headache, Fatigue, Body aches, Feverish, General discomfort, Chills, Joint pain"
Roseola,"High fever, Rash, Swollen lymph nodes, Sore throat, Diarrhea, Loss of appetite, Chills, Feverish"
"Hand, Foot, and Mouth Disease","Sores in mouth, Rash on hands and feet, Loss of appetite, Red spots, Blisters, Sore muscles, Mild fever"
"Hand, Foot, and Mouth Disease","Fever, Sores in mouth, Loss of appetite, Mouth sores, Blisters, Headache"
Norovirus Infection,"Low-grade fever, Headache, Fatigue, Loss of appetite, Dehydration, Chills, Sweating, Fever, Irritability"
Shigellosis (Bacillary Dysentery),"Fever, Nausea, Stomach cramps, Fatigue, Loss of appetite, Muscle aches, General discomfort, Chills, Joint pain"
Shigellosis (Bacillary Dysentery),"Vomiting, Bloody stools, Headache, Fatigue, Dehydration, Loss of appetite, Body aches, Feverish, Rashes, Chills"
Roseola,"Runny nose, Irritability, Swollen lymph nodes, Sore throat, Headache, Cough, Diarrhea, Body aches, Chills"
Shigellosis (Bacillary Dysentery),"Diarrhea, Vomiting, Stomach cramps, Fatigue, Loss of appetite, Body aches, Feverish, General discomfort, Chills, Joint pain"
Shigellosis (Bacillary Dysentery),"Vomiting, Stomach cramps, Fatigue, Dehydration, Muscle aches, General discomfort, Chills"
Shigellosis (Bacillary Dysentery),"Fever, Diarrhea, Bloody stools, Stomach cramps, Fatigue, Dehydration, Muscle aches, General discomfort"
Norovirus Infection,"Stomach cramps, Muscle aches, Fatigue, Loss of appetite, Chills, Sweating, General discomfort"
Roseola,"Runny nose, Fatigue, Swollen lymph nodes, Sore throat, Cough, Diarrhea, Vomiting, Chills"
Shigellosis (Bacillary Dysentery),"Diarrhea, Dehydration, Loss of appetite, Body aches, Joint pain"
Roseola,"High fever, Runny nose, Fatigue, Sore throat, Headache, Diarrhea, Abdominal pain, Chills, Feverish"
Norovirus Infection,"Stomach cramps, Low-grade fever, Nausea, Headache, Fatigue, Abdominal pain, Loss of appetite, Chills, Sweating, Fever, Irritability"
"Hand, Foot, and Mouth Disease","Fever, Sores in mouth, Rash on hands and feet, Sore throat, Mouth sores, Blisters, Fatigue, General discomfort, Mild fever"
Norovirus Infection,"Low-grade fever, Muscle aches, Headache, Chills, Sweating"
Norovirus Infection,"Diarrhea, Vomiting, Stomach cramps, Headache, Abdominal pain, Dehydration, Chills, Sweating, Body aches, Rashes"
Norovirus Infection,"Diarrhea, Vomiting, Nausea, Headache, Fatigue, Dehydration, Chills, Sweating, General discomfort, Irritability"
Roseola,"Irritability, Fatigue, Swollen lymph nodes, Cough, Diarrhea, Vomiting, Abdominal pain, Body aches, Feverish"
Roseola,"Rash, Fatigue, Swollen lymph nodes, Sore throat, Headache, Vomiting, Chills, Feverish"
Roseola,"Runny nose, Rash, Irritability, Headache, Cough, Diarrhea, Loss of appetite, Body aches, Feverish"
Shigellosis (Bacillary Dysentery),"Fever, Diarrhea, Stomach cramps, Headache, Fatigue, Dehydration, Loss of appetite, Muscle aches, Body aches, Feverish, Chills"
"Hand, Foot, and Mouth Disease","Sores in mouth, Red spots, Cough, Headache, Mild fever"
Roseola,"Rash, Sore throat, Headache, Cough, Diarrhea, Vomiting, Abdominal pain, Feverish"
Roseola,"Runny nose, Rash, Fatigue, Swollen lymph nodes, Red eyes, Body aches"
Norovirus Infection,"Diarrhea, Muscle aches, Fatigue, Loss of appetite, Dehydration, Chills, Sweating, Rashes, Fever"
Shigellosis (Bacillary Dysentery),"Nausea, Vomiting, Fatigue, Dehydration, Loss of appetite, Body aches, Feverish, Rashes, General discomfort, Chills, Joint pain"
Norovirus Infection,"Vomiting, Headache, Abdominal pain, Chills, General discomfort"
"Hand, Foot, and Mouth Disease","Rash on hands and feet, Sore throat, Mouth sores, Red spots, Fatigue, Sore muscles, Mild fever"
"Hand, Foot, and Mouth Disease","Fever, Sores in mouth, Rash on hands and feet, Loss of appetite, Sore throat, Cough, Sore muscles, Difficulty swallowing"
Shigellosis (Bacillary Dysentery),"Fever, Bloody stools, Headache, Fatigue, Muscle aches, Rashes, General discomfort, Chills, Joint pain"
Shigellosis (Bacillary Dysentery),"Fever, Nausea, Vomiting, Bloody stools, Stomach cramps, Headache, Loss of appetite, General discomfort, Chills"
"Hand, Foot, and Mouth Disease","Mouth sores, Red spots, Cough, Headache, Mild fever"
Scarlet Fever,"Fever, Strawberry tongue, Fever (100.4�F / 38.0�C or higher), Sore and red throat with patches, Tender, enlarged neck glands, Nausea or vomiting, Abdominal pain, Headache and body aches"
Norovirus Infection,"Stomach cramps, Low-grade fever, Muscle aches, Nausea, Loss of appetite, Chills, Sweating, Rashes, Fever"
Norovirus Infection,"Diarrhea, Stomach cramps, Low-grade fever, Muscle aches, Headache, Fatigue, Abdominal pain, Body aches, Rashes, General discomfort, Fever"
Roseola,"Fatigue, Sore throat, Headache, Red eyes, Vomiting, Abdominal pain, Body aches"
Shigellosis (Bacillary Dysentery),"Fever, Abdominal pain or cramps, Nausea, Vomiting, Stomach cramps, Fatigue, Dehydration, Loss of appetite, Feverish, General discomfort"
Shigellosis (Bacillary Dysentery),"Fever, Abdominal pain or cramps, Diarrhea, Nausea, Vomiting, Headache, Fatigue, Body aches, Rashes, General discomfort, Chills, Joint pain"
Roseola,"High fever, Runny nose, Rash, Irritability, Cough, Red eyes, Diarrhea, Body aches"
Norovirus Infection,"Diarrhea, Muscle aches, Headache, Dehydration, Sweating, Rashes, Irritability"
Roseola,"Runny nose, Sore throat, Headache, Red eyes, Diarrhea, Loss of appetite, Body aches"
Roseola,"High fever, Rash, Irritability, Sore throat, Headache, Cough, Vomiting"
Mumps,"Swollen, painful salivary glands, Fever, Testicle pain and tenderness, Headache, Muscle aches, Tiredness"
Roseola,"Runny nose, Cough, Loss of appetite, Body aches, Rashes"
"Hand, Foot, and Mouth Disease","Sores in mouth, Sore throat, Mouth sores, Red spots, Mild fever, Difficulty swallowing"
Shigellosis (Bacillary Dysentery),"Diarrhea, Bloody stools, Fatigue, Dehydration, Muscle aches, Joint pain"
Roseola,"Runny nose, Rash, Red eyes, Diarrhea, Vomiting, Rashes, Feverish"
Scarlet Fever,"Fever, Strawberry tongue, Tender, enlarged neck glands, Nausea or vomiting, Abdominal pain"
Roseola,"Fatigue, Swollen lymph nodes, Sore throat, Red eyes, Vomiting, Loss of appetite, Rashes, Chills, Feverish"
Shigellosis (Bacillary Dysentery),"Fever, Abdominal pain or cramps, Diarrhea, Nausea, Bloody stools, Headache, Body aches, Feverish, Rashes, Chills"
Shigellosis (Bacillary Dysentery),"Fever, Nausea, Vomiting, Stomach cramps, Dehydration, Loss of appetite, Feverish, Rashes, General discomfort, Chills, Joint pain"
Roseola,"Rash, Fatigue, Swollen lymph nodes, Diarrhea, Vomiting, Body aches, Rashes, Feverish"
Roseola,"Runny nose, Fatigue, Swollen lymph nodes, Sore throat, Vomiting, Loss of appetite, Abdominal pain, Body aches"
Roseola,"High fever, Fatigue, Cough, Red eyes, Diarrhea, Vomiting, Abdominal pain, Rashes, Chills, Feverish"
Roseola,"Fatigue, Sore throat, Headache, Diarrhea, Body aches, Rashes"
Norovirus Infection,"Diarrhea, Stomach cramps, Low-grade fever, Nausea, Headache, Abdominal pain, Loss of appetite, Dehydration, Chills, Sweating, Fever"
Roseola,"High fever, Runny nose, Fatigue, Swollen lymph nodes, Sore throat, Headache, Cough, Red eyes, Diarrhea, Rashes, Feverish"
Mumps,"Swollen, painful salivary glands, Pain while chewing or swallowing, Fever, Tiredness, Trouble chewing, Testicle pain and tenderness, Muscle aches, Loss of appetite"
Shigellosis (Bacillary Dysentery),"Nausea, Vomiting, Stomach cramps, Loss of appetite, General discomfort"
Shigellosis (Bacillary Dysentery),"Fever, Abdominal pain or cramps, Diarrhea, Nausea, Vomiting, Stomach cramps, Fatigue, Dehydration, Muscle aches, Body aches, General discomfort"
Mumps,"Headache, Swollen, painful salivary glands, Pain while chewing or swallowing, Fever, Muscle aches, Loss of appetite, Trouble chewing, Headache, Muscle aches, Tiredness, Loss of appetite"
Shigellosis (Bacillary Dysentery),"Fever, Abdominal pain or cramps, Nausea, Vomiting, Stomach cramps, Fatigue, Muscle aches, Body aches, Feverish, Rashes, General discomfort, Chills"
Shigellosis (Bacillary Dysentery),"Fever, Abdominal pain or cramps, Diarrhea, Nausea, Vomiting, Stomach cramps, Headache, Muscle aches, Body aches, Rashes, General discomfort, Chills"
Shigellosis (Bacillary Dysentery),"Fever, Abdominal pain or cramps, Diarrhea, Nausea, Vomiting, Headache, Fatigue, Body aches, Feverish"
"Hand, Foot, and Mouth Disease","Fever, Sores in mouth, Loss of appetite, Irritability, Mouth sores, Blisters, Fatigue, Headache, Mild fever"
Roseola,"High fever, Runny nose, Irritability, Fatigue, Swollen lymph nodes, Headache, Diarrhea, Body aches, Rashes, Chills"
Shigellosis (Bacillary Dysentery),"Vomiting, Fatigue, Dehydration, Loss of appetite, Body aches, General discomfort"
"Hand, Foot, and Mouth Disease","Rash on hands and feet, Irritability, Sore throat, Mouth sores, Red spots, Blisters, Fatigue, Cough, Sore muscles, Difficulty swallowing"
Norovirus Infection,"Vomiting, Stomach cramps, Muscle aches, Nausea, Headache, Fatigue, General discomfort, Fever"
Shigellosis (Bacillary Dysentery),"Fever, Vomiting, Bloody stools, Headache, Fatigue, Feverish, Rashes, Chills, Joint pain"
Roseola,"Runny nose, Rash, Swollen lymph nodes, Diarrhea, Vomiting, Loss of appetite, Rashes"
Norovirus Infection,"Vomiting, Nausea, Fatigue, Loss of appetite, Body aches, Rashes, General discomfort"
Shigellosis (Bacillary Dysentery),"Nausea, Bloody stools, Headache, Fatigue, Muscle aches, Body aches, Feverish, Rashes, Chills, Joint pain"
Norovirus Infection,"Diarrhea, Stomach cramps, Low-grade fever, Nausea, Headache, Chills"
"Hand, Foot, and Mouth Disease","Sore throat, Mouth sores, Red spots, Fatigue, General discomfort, Mild fever, Difficulty swallowing"
Norovirus Infection,"Diarrhea, Headache, Dehydration, Sweating, Rashes, Fever, Irritability"
Shigellosis (Bacillary Dysentery),"Abdominal pain or cramps, Diarrhea, Vomiting, Bloody stools, Headache, Dehydration, General discomfort, Chills, Joint pain"
Norovirus Infection,"Diarrhea, Low-grade fever, Headache, Fatigue, Dehydration, Rashes"
Roseola,"High fever, Fatigue, Swollen lymph nodes, Sore throat, Headache, Cough, Chills"
Roseola,"High fever, Rash, Irritability, Fatigue, Swollen lymph nodes, Sore throat, Headache, Red eyes, Diarrhea, Vomiting, Abdominal pain, Body aches"
"Hand, Foot, and Mouth Disease","Sores in mouth, Loss of appetite, Red spots, Cough, General discomfort, Mild fever, Difficulty swallowing"
Scarlet Fever,"Fever, Red rash on the body, Fever (100.4�F / 38.0�C or higher), Sore and red throat with patches, Difficulty swallowing, Abdominal pain, Headache and body aches"
Roseola,"Runny nose, Irritability, Swollen lymph nodes, Sore throat, Red eyes, Diarrhea, Vomiting, Body aches, Rashes, Chills, Feverish"
Common Cold,"Scratchy, tickly throat, Watering eyes, Low-grade fever, Achy muscles and bones, Headache, Chills, Watery discharge from nose that thickens and turns yellow or green"
Roseola,"Irritability, Swollen lymph nodes, Sore throat, Diarrhea, Loss of appetite, Rashes, Feverish"
Shigellosis (Bacillary Dysentery),"Abdominal pain or cramps, Diarrhea, Nausea, Vomiting, Stomach cramps, Headache, Loss of appetite, Body aches, Feverish, General discomfort, Chills"
Roseola,"Runny nose, Irritability, Swollen lymph nodes, Sore throat, Cough, Red eyes, Diarrhea"
Norovirus Infection,"Diarrhea, Vomiting, Stomach cramps, Low-grade fever, Muscle aches, Headache, Loss of appetite, Rashes, Fever, Irritability"
Shigellosis (Bacillary Dysentery),"Abdominal pain or cramps, Nausea, Stomach cramps, Headache, Fatigue, Rashes, Chills"
Shigellosis (Bacillary Dysentery),"Fever, Fatigue, Dehydration, Loss of appetite, Muscle aches, Rashes, General discomfort, Chills"
Roseola,"High fever, Runny nose, Rash, Fatigue, Swollen lymph nodes, Headache, Cough, Diarrhea, Loss of appetite, Abdominal pain, Body aches"
Norovirus Infection,"Stomach cramps, Low-grade fever, Muscle aches, Headache, Sweating, Body aches, Rashes, General discomfort, Fever"
Norovirus Infection,"Diarrhea, Stomach cramps, Low-grade fever, Headache, Fatigue, Rashes, General discomfort, Fever, Irritability"
Roseola,"Runny nose, Rash, Fatigue, Sore throat, Vomiting, Body aches"
Shigellosis (Bacillary Dysentery),"Fever, Diarrhea, Bloody stools, Headache, Feverish, General discomfort, Chills"
Shigellosis (Bacillary Dysentery),"Fever, Abdominal pain or cramps, Nausea, Bloody stools, Stomach cramps, Fatigue, Dehydration, Body aches, Feverish, Rashes, Chills, Joint pain"
Norovirus Infection,"Vomiting, Stomach cramps, Muscle aches, Headache, Fatigue, Abdominal pain, Loss of appetite, Dehydration, Chills, Rashes, General discomfort"
Norovirus Infection,"Low-grade fever, Abdominal pain, Loss of appetite, Sweating, Rashes, General discomfort, Fever, Irritability"
Shigellosis (Bacillary Dysentery),"Abdominal pain or cramps, Diarrhea, Nausea, Bloody stools, Stomach cramps, Dehydration, Loss of appetite, Feverish, Rashes, Joint pain"
"Hand, Foot, and Mouth Disease","Sores in mouth, Loss of appetite, Red spots, Fatigue, Cough, General discomfort, Mild fever, Difficulty swallowing"
Roseola,"High fever, Irritability, Diarrhea, Vomiting, Loss of appetite, Feverish"
Norovirus Infection,"Diarrhea, Vomiting, Muscle aches, Nausea, Dehydration, Chills, Body aches, General discomfort, Fever"
Norovirus Infection,"Diarrhea, Vomiting, Stomach cramps, Low-grade fever, Nausea, Headache, Loss of appetite, Body aches, Rashes, Fever"
"Hand, Foot, and Mouth Disease","Fever, Sores in mouth, Rash on hands and feet, Irritability, Mouth sores, Blisters, Fatigue, Headache, General discomfort, Mild fever, Difficulty swallowing"
Shigellosis (Bacillary Dysentery),"Abdominal pain or cramps, Nausea, Stomach cramps, Fatigue, Dehydration, Muscle aches, Body aches, Rashes, Chills, Joint pain"
Roseola,"High fever, Runny nose, Rash, Headache, Cough, Diarrhea, Abdominal pain, Rashes"
Roseola,"Runny nose, Irritability, Swollen lymph nodes, Sore throat, Vomiting, Abdominal pain, Body aches, Rashes"
Roseola,"Rash, Fatigue, Swollen lymph nodes, Sore throat, Headache, Red eyes, Body aches, Feverish"
Norovirus Infection,"Vomiting, Muscle aches, Headache, Fatigue, Abdominal pain, Loss of appetite, Dehydration, Sweating, Body aches, Fever"
Shigellosis (Bacillary Dysentery),"Abdominal pain or cramps, Diarrhea, Nausea, Bloody stools, Stomach cramps, Fatigue, Dehydration, Loss of appetite, Feverish, General discomfort, Chills"
